data,rodada,mandante,visitante,gols_mandante,gols_visitante,status
2025-05-10T21:30:00Z,8,Grêmio FBPA,RB Bragantino,1,1,FINISHED
2025-05-10T21:30:00Z,8,EC Vitória,CR Vasco da Gama,2,1,FINISHED
2025-05-11T00:00:00Z,8,CR Flamengo,EC Bahia,1,0,FINISHED
2025-05-11T19:00:00Z,8,SC Recife,Cruzeiro EC,0,4,FINISHED
2025-05-11T20:30:00Z,8,SE Palmeiras,São Paulo FC,1,0,FINISHED
2025-05-11T20:30:00Z,8,CA Mineiro,Fluminense FC,3,2,FINISHED
2025-05-11T23:00:00Z,8,Botafogo FR,SC Internacional,4,0,FINISHED
2025-05-12T23:00:00Z,8,Santos FC,Ceará SC,0,0,FINISHED
2025-05-17T19:00:00Z,9,Ceará SC,SC Recife,2,0,FINISHED
2025-05-17T21:30:00Z,9,CR Vasco da Gama,Fortaleza EC,3,0,FINISHED
2025-05-18T00:00:00Z,9,São Paulo FC,Grêmio FBPA,2,1,FINISHED
2025-05-18T19:00:00Z,9,SC Corinthians Paulista,Santos FC,1,0,FINISHED
2025-05-18T19:00:00Z,9,EC Bahia,EC Vitória,2,1,FINISHED
2025-05-18T19:00:00Z,9,EC Juventude,Fluminense FC,1,1,FINISHED
2025-05-18T21:30:00Z,9,CR Flamengo,Botafogo FR,0,0,FINISHED
2025-05-18T21:30:00Z,9,RB Bragantino,SE Palmeiras,1,2,FINISHED
2025-05-18T23:30:00Z,9,Cruzeiro EC,CA Mineiro,0,0,FINISHED
2025-05-18T23:30:00Z,9,SC Internacional,Mirassol FC,1,1,FINISHED
2025-05-24T21:30:00Z,10,Fluminense FC,CR Vasco da Gama,2,1,FINISHED
2025-05-24T21:30:00Z,10,São Paulo FC,Mirassol FC,0,2,FINISHED
2025-05-25T00:00:00Z,10,CA Mineiro,SC Corinthians Paulista,0,0,FINISHED
2025-05-25T14:00:00Z,10,Grêmio FBPA,EC Bahia,1,0,FINISHED
2025-05-25T19:00:00Z,10,SE Palmeiras,CR Flamengo,0,2,FINISHED
2025-05-25T19:00:00Z,10,SC Recife,SC Internacional,1,1,FINISHED
2025-05-25T21:30:00Z,10,EC Vitória,Santos FC,0,1,FINISHED
2025-05-25T23:30:00Z,10,Fortaleza EC,Cruzeiro EC,0,2,FINISHED
2025-05-26T23:00:00Z,10,RB Bragantino,EC Juventude,1,0,FINISHED
2025-05-31T21:30:00Z,11,EC Bahia,São Paulo FC,2,1,FINISHED
2025-06-01T00:00:00Z,11,CR Vasco da Gama,RB Bragantino,0,2,FINISHED
2025-06-01T14:00:00Z,11,Mirassol FC,SC Recife,1,0,FINISHED
2025-06-01T19:00:00Z,11,EC Juventude,Grêmio FBPA,0,2,FINISHED
2025-06-01T19:00:00Z,11,Santos FC,Botafogo FR,0,1,FINISHED
2025-06-01T21:30:00Z,11,Ceará SC,CA Mineiro,0,1,FINISHED
2025-06-01T21:30:00Z,11,CR Flamengo,Fortaleza EC,5,0,FINISHED
2025-06-01T21:30:00Z,11,SC Corinthians Paulista,EC Vitória,0,0,FINISHED
2025-06-01T22:30:00Z,11,Cruzeiro EC,SE Palmeiras,2,1,FINISHED
2025-06-01T23:30:00Z,11,SC Internacional,Fluminense FC,0,2,FINISHED
2025-06-04T23:00:00Z,10,Botafogo FR,Ceará SC,3,2,FINISHED
2025-06-12T22:00:00Z,12,RB Bragantino,EC Bahia,0,3,FINISHED
2025-06-12T22:00:00Z,12,EC Vitória,Cruzeiro EC,0,0,FINISHED
