data,rodada,mandante,visitante,gols_mandante,gols_visitante,status
2025-11-08T21:30:00Z,33,SC Internacional,EC Bahia,2,2,FINISHED
2025-11-09T00:00:00Z,33,São Paulo FC,RB Bragantino,0,1,FINISHED
2025-11-09T19:00:00Z,33,SC Corinthians Paulista,Ceará SC,0,1,FINISHED
2025-11-09T19:00:00Z,33,Cruzeiro EC,Fluminense FC,0,0,FINISHED
2025-11-09T19:00:00Z,33,EC Vitória,Botafogo FR,0,0,FINISHED
2025-11-09T21:30:00Z,33,CR Flamengo,Santos FC,3,2,FINISHED
2025-11-09T23:30:00Z,33,Mirassol FC,SE Palmeiras,2,1,FINISHED
2025-11-09T23:30:00Z,33,Fortaleza EC,Grêmio FBPA,2,2,FINISHED
2025-11-12T23:30:00Z,16,CA Mineiro,Fortaleza EC,3,3,FINISHED
2025-11-15T21:30:00Z,12,SC Recife,CR Flamengo,1,5,FINISHED
2025-11-16T00:00:00Z,13,Santos FC,SE Palmeiras,1,0,FINISHED
2025-11-16T22:00:00Z,37,RB Bragantino,CA Mineiro,2,0,FINISHED
2025-11-18T23:30:00Z,34,Botafogo FR,SC Recife,3,2,FINISHED
2025-11-19T22:30:00Z,37,SE Palmeiras,EC Vitória,0,0,FINISHED
2025-11-20T00:30:00Z,34,Fluminense FC,CR Flamengo,2,1,FINISHED
2025-11-20T00:30:00Z,34,Santos FC,Mirassol FC,1,1,FINISHED
2025-11-20T00:30:00Z,34,Grêmio FBPA,CR Vasco da Gama,2,0,FINISHED
2025-11-20T19:00:00Z,34,EC Juventude,Cruzeiro EC,3,3,FINISHED
2025-11-20T21:00:00Z,34,EC Bahia,Fortaleza EC,2,3,FINISHED
2025-11-20T22:30:00Z,34,SC Corinthians Paulista,São Paulo FC,3,1,FINISHED
2025-11-21T00:30:00Z,34,Ceará SC,SC Internacional,1,2,FINISHED
2025-11-22T22:30:00Z,35,Botafogo FR,Grêmio FBPA,3,2,FINISHED
2025-11-23T00:30:00Z,35,CR Flamengo,RB Bragantino,3,0,FINISHED
2025-11-23T00:30:00Z,35,SE Palmeiras,Fluminense FC,0,0,FINISHED
2025-11-23T19:00:00Z,35,São Paulo FC,EC Juventude,2,1,FINISHED
2025-11-23T19:00:00Z,35,EC Bahia,CR Vasco da Gama,1,0,FINISHED
2025-11-23T21:30:00Z,35,SC Recife,EC Vitória,1,3,FINISHED
2025-11-23T23:30:00Z,35,Cruzeiro EC,SC Corinthians Paulista,3,0,FINISHED
2025-11-24T22:00:00Z,35,Mirassol FC,Ceará SC,3,0,FINISHED
2025-11-25T00:00:00Z,35,SC Internacional,Santos FC,1,1,FINISHED
2025-11-26T00:30:00Z,36,CA Mineiro,CR Flamengo,1,1,FINISHED
2025-11-26T00:30:00Z,36,Grêmio FBPA,SE Palmeiras,3,2,FINISHED
2025-11-26T22:00:00Z,36,RB Bragantino,Fortaleza EC,0,1,FINISHED
2025-11-27T23:30:00Z,36,Fluminense FC,São Paulo FC,6,0,FINISHED
2025-11-28T22:00:00Z,36,EC Juventude,EC Bahia,1,1,FINISHED
2025-11-28T22:30:00Z,36,CR Vasco da Gama,SC Internacional,5,1,FINISHED
2025-11-29T00:30:00Z,36,Santos FC,SC Recife,3,0,FINISHED
2025-11-29T19:00:00Z,36,EC Vitória,Mirassol FC,2,0,FINISHED
2025-11-30T00:00:00Z,36,Ceará SC,Cruzeiro EC,1,1,FINISHED
2025-11-30T19:00:00Z,36,SC Corinthians Paulista,Botafogo FR,2,2,FINISHED
2025-11-30T21:30:00Z,35,Fortaleza EC,CA Mineiro,1,0,FINISHED
2025-12-02T22:00:00Z,37,CR Vasco da Gama,Mirassol FC,0,2,FINISHED
2025-12-03T00:30:00Z,37,Grêmio FBPA,Fluminense FC,1,2,FINISHED
2025-12-03T22:00:00Z,37,Fortaleza EC,SC Corinthians Paulista,2,1,FINISHED
2025-12-03T22:00:00Z,34,RB Bragantino,EC Vitória,4,0,FINISHED
2025-12-03T22:30:00Z,37,EC Juventude,Santos FC,0,3,FINISHED
2025-12-03T23:00:00Z,37,São Paulo FC,SC Internacional,3,0,FINISHED
2025-12-03T23:00:00Z,37,EC Bahia,SC Recife,2,0,FINISHED
2025-12-04T00:30:00Z,34,CA Mineiro,SE Palmeiras,0,3,FINISHED
2025-12-04T00:30:00Z,37,CR Flamengo,Ceará SC,1,0,FINISHED
2025-12-04T22:30:00Z,37,Cruzeiro EC,Botafogo FR,2,2,FINISHED
2025-12-06T21:30:00Z,38,Mirassol FC,CR Flamengo,3,3,FINISHED
2025-12-07T19:00:00Z,38,Fluminense FC,EC Bahia,2,0,FINISHED
2025-12-07T19:00:00Z,38,Botafogo FR,Fortaleza EC,4,2,FINISHED
2025-12-07T19:00:00Z,38,SC Corinthians Paulista,EC Juventude,1,1,FINISHED
2025-12-07T19:00:00Z,38,Santos FC,Cruzeiro EC,3,0,FINISHED
2025-12-07T19:00:00Z,38,CA Mineiro,CR Vasco da Gama,5,0,FINISHED
2025-12-07T19:00:00Z,38,SC Internacional,RB Bragantino,3,1,FINISHED
2025-12-07T19:00:00Z,38,EC Vitória,São Paulo FC,1,0,FINISHED
2025-12-07T19:00:00Z,38,Ceará SC,SE Palmeiras,1,3,FINISHED
2025-12-07T19:00:00Z,38,SC Recife,Grêmio FBPA,0,4,FINISHED
